id,keyword,intent,priority,page_type,target_page,last_modified,source
65,s9 OTP not received checklist,tutorial/problem,P2,article,/blog/,2026-06-28,sop-full-audit
66,s9 OTP not received fix,tutorial/problem,P2,article,/blog/,2026-06-28,sop-full-audit
67,s9 OTP not received not working,tutorial/problem,P2,article,/blog/,2026-06-28,sop-full-audit
68,s9 OTP not received latest update,tutorial/problem,P2,article,/blog/,2026-06-28,sop-full-audit
69,s9 OTP not received support,tutorial/problem,P2,article,/blog/,2026-06-28,sop-full-audit
70,s9 number already used Pakistan,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
71,s9 number already used PK,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
72,s9 number already used Android,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
73,s9 number already used mobile,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
74,s9 number already used H5,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
75,s9 number already used 2026,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
76,s9 number already used guide,tutorial/problem,P2,article,/blog/,2026-06-28,sop-full-audit
77,s9 number already used checklist,tutorial/problem,P2,article,/blog/,2026-06-28,sop-full-audit
78,s9 number already used fix,tutorial/problem,P2,article,/blog/,2026-06-28,sop-full-audit
79,s9 number already used not working,tutorial/problem,P2,article,/blog/,2026-06-28,sop-full-audit
80,s9 number already used latest update,tutorial/problem,P2,article,/blog/,2026-06-28,sop-full-audit
